NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,DIMENSIONS
IDISSBCTC,n,0,The column number for concentration of dissolved solute at mesh boundary :envvar:`n` in the external file :envvar:`FDISSBCT(n)`,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
DSIZEBCT,"t,n",DFDIAM_INI,,Diameter of dispersed phase particles in drift-flux model at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,[L]
FDSIZEBCT,n,' ',The external filename for tabular definition of the diameter of dispersed phase particles at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IDSIZEBCTC(n)` :math:`\geq` 2),NONE
IDSIZEBCTC,n,0,The column number for diameter of dispersed phase particles at mesh boundary :envvar:`n` in the external file :envvar:`FDSIZEBCT(n)`,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
EOFBCT,"t,n",0.0,Zeta potential at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. ,[M L\ :sup:`2` Q\ :sup:`-1` t\ :sup:`-2`]
FEOFBCT,n,,The external filename for tabular zeta potential at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IEOFBCTC(n)` :math:`\geq` 2),NONE
IEOFBCTC,n,0,The column number for zeta potential at mesh boundary :envvar:`n` in the external file,NONE
EPOTBCT,"t,n",0.0,Electric potential at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,[M L\ :sup:`2` Q\ :sup:`-1` t\ :sup:`-2`]
FEPOTBCT,n,,The external filename for tabular electric potential at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IEPOTBCTC(n)` :math:`\geq` 2),NONE
IEPOTBCTC,n,0,The column number for electric potential at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
IPHIBC,n,0,Electric field boundary condition type at mesh boundary :envvar:`n`,NONE
FBCT,"t,n",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM
FFBCT,n,,The external filename for tabular fluid fraction at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IFBCTC(n)` :math:`\geq` 2),NONE
IFBCTC,n,0,The column number for fluid fraction at mesh boundary :envvar:`n` in the external file,NONE
IHPBCT,n,0,Flag for setting fluid fraction at mesh boundary :envvar:`n`.,NON-DIM     
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
RHOBCT,"t,n",RHOF,,Fluid density at mesh boundary :envvar:`n` at time TIMBCT(t).,[M/L\ :sup:`3`]
FRHOBCT,n,,The external filename for tabular fluid density at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IRHOBCTC(n)` :math:`\geq` 2),NONE
IRHOBCTC,n,0,The column number for fluid density at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
CNCBCT,"t,n",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM
FCNCBCT,n,,The external filename for tabular volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ICNCBCTC(n)` :math:`\geq` 2),NONE
ICNCBCTC,n,0,The column number for volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` in the external file,NONE
RSATBCT,"t,n",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM
FRSATBCT,n,,The external filename for tabular relative saturation at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IRSATBCTC(n)` :math:`\geq` 2),NONE
IRSATBCTC,n,0,The column number for relative saturation at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
IPBCTP,n,1,Type of specified pressure boundary for boundary :envvar:`n`,NONE
IPOUTBCT,n,0,Flag for outflow type of pressure boundary at boundary :envvar:`n`,NONE
PBCT,"t,n",...,"Pressure at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Defaults to zero if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to :envvar:`P_REFERENCE` otherwise.",[M L\ :sup:`-1` t\ :sup:`-2`]
FPBCT,n,,The external filename for tabular pressure at mesh boundary :envvar:`n` as a function of time. Used only if :envvar:`IPBCTC(n)` :math:`\geq` 2.,NONE
IPBCTC,n,0,The column number for pressure at mesh boundary :envvar:`n` in the external file,NONE     
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
SCLBCT,"t,n,ns",0.0,Scalar magnitude of species :envvar:`ns` at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,Varies; typically [M/L\ :sup:`3`]
FSCLBCT,"n,ns",,"The external filename for tabular scalar magnitude of species :envvar:`ns` at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ISCLBCTC(n,ns)` :math:`\geq` 2)",NONE
ISCLBCTC,"n,ns",0,The column number for scalar magnitude of species :envvar:`ns` at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
SSBCT,"t,n,k",0.0,Suspended sediment mass concentration of sediment species :envvar:`k` at mesh boundary n at time TIMBCT(t).,[M/L\ :sup:`3`]
FSSBCT,n,,The external filename for tabular suspended sediment mass concentration of sediment species :envvar:`k` at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ISSBCTC(n)` :math:`\geq` 2),NONE
ISSBCTC,n,0,The column number for suspended sediment mass concentration of sediment species :envvar:`k` at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
SEGBCT,"t,n",0.0,Concentration of solute mass at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,[M/L\ :sup:`3`]
FSEGBCT,n,,The external filename for tabular concentration of solute mass at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ISEGBCTC(n)` :math:`\geq` 2),NONE
ISEGBCTC,n,0,The column number for concentration of solute mass at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
"CSLDGBCT(t,n)`",,0.0,Mass concentration of sludge at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)` ,[M/L\ :sup:`3`]
FCSLDGBCT,,...,The external filename for sludge mass concentration at mesh boundary :envvar:`n` as a function of time ,NONE
ICSLDGBCTC,,0,The column number of sludge mass concentration at mesh boundary :envvar:`n` in file :envvar:`FCSLDGBCT`,NONE
TBCD,,T_REFERENCE,,Default obstacle and mesh boundary surface temperature.,[T]
TBCT,"t,n",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T]
FTBCT,n,' ',The external filename for tabular temperature at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ITBCTC(n)` :math:`\geq` 2),NONE
ITBCTC,n,0,The column number for temperature at mesh boundary :envvar:`n` in the external file :envvar:`FTBCT(n)`,NONE
TBCT2,"t,n",TBCD,,"Fluid #2 temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used only at :math:`x` and :math:`y` boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11, with hydrostatic attribute, :envvar:`IHPBCT(n)` = 1.",[T]
FTBCT2,n,' ',The external filename for tabular temperature of fluid #2 at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ITBCTC2(n)` :math:`\geq` 2),NONE
ITBCTC2,n,0,The column number for fluid #2 temperature at mesh boundary :envvar:`n` in the external file :envvar:`FTBCT2(n)`,NONE     
IHTBCT,n,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
POBCT,"t,n",0.0,"Thermal power at mesh boundary :envvar:`n`, or at a macro-boundary (see :envvar:`IF_PART`), at time :envvar:`TIMBCT(t)`.",[M L\ :sup:`2` t\ :sup:`-3`]
FPOBCT,n,' ',The external filename for tabular thermal power at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IPOBCTC(n)` :math:`\geq` 2),NONE
IHTBCT,n,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE
IPOBCTC,n,0,The column number for thermal power at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
RWALL,n,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM
WBCL,n,...,Length scale for mesh boundary :envvar:`n` ,[L]
HWALL1,n,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,[M T\ :sup:`-1` t\ :sup:`-3`]
HWALL2,n,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,[M T\ :sup:`-1` t\ :sup:`-3`]
HWOBS,n,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,[M T\ :sup:`-1` t\ :sup:`-3`]
DTKBCT,"t,n",...,Turbulent dissipation per unit mass at mesh boundary :envvar:`n` at time TIMBCT(t),[L\ :sup:`2`/t\ :sup:`3`]
FDTKBCT,n,,The external filename for tabular turbulent dissipation per unit mass at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IDTKBCTC(n)` :math:`\geq` 2),NONE
IDTKBCTC,n,0,The column number for turbulent dissipation per unit mass at mesh boundary :envvar:`n` in the external file,NONE
TKEBCT,"t,n",TKEI,,Turbulent energy per unit mass at mesh boundary :envvar:`n` at time TIMBCT(t),[L\ :sup:`2`/t\ :sup:`2`]
FTKEBCT,n,,The external filename for tabular turbulent energy per unit mass at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IFBCTC(n)` :math:`\geq` 2),NONE
ITKEBCTC,n,0,The column number for turbulent energy per unit mass at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
UBCT,"t,n",0.0,X-velocity at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`,[L/t]
FUBCT,n,,The external filename for tabular X-velocity at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IUBCTC(n)` :math:`\geq` 2),NONE
IUBCTC,n,0,The column number for X-velocity at mesh boundary :envvar:`n` in the external file,NONE
VBCT,"t,n",0.0,"Y-velocity at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)` (in cylindrical geometry, units are radians/s).",[L/t]
FVBCT,n,,The external filename for tabular Y-velocity at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IVBCTC(n)` :math:`\geq` 2),NONE
IVBCTC,n,0,The column number for Y-velocity at mesh boundary :envvar:`n` in the external file,NONE
WBCT,"t,n",0.0,Z-velocity at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`,[L/t]
FWBCT,n,,The external filename for tabular Z-velocity at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IWBCTC(n)` :math:`\geq` 2),NONE
IWBCTC,n,0,The column number for Z-velocity at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
IOBCTP,n,0,Reverse flow option at outflow mesh boundary #n (of type 8),NONE
FLHTBCT,"t,n",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,[L]
FFLHTBCT,n,,The external filename for tabular free-surface elevation at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IFLHTBCTC(n)` :math:`\geq` 2),NONE
IFLHTBCTC,n,0,The column number for free-surface elevation at mesh boundary :envvar:`n` in the external file,NONE
INWAVE,n,3,Indicator of wave type at mesh boundary :envvar:`n`,NONE
IWAVEBC,n,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE
WAVEAMP,"n,m",0.0,Wave height amplitude of wave component :envvar:`m` at mesh boundary :envvar:`n`.,[L]
UBCT,"t,n",0.0,X-velocity of undisturbed constant uniform current at mesh boundary :envvar:`n`.,[L/t]
VBCT,"t,n",0.0,Y-velocity of undisturbed constant uniform current at mesh boundary :envvar:`n`.,[L/t]
WBCT,"t,n",0.0,Z-velocity of undisturbed constant uniform current at mesh boundary :envvar:`n`,[L/t]
WAVEPER,"n,m",...,Period of wave component :envvar:`m` at mesh boundary :envvar:`n`.,[t]
WAVELEN,"n,m",...,Wave length of wave component :envvar:`m` at mesh boundary :envvar:`n`.,[L]
WAVEPHS,"n,m",0.0,Phase shift in degrees of wave component :envvar:`m` at mesh boundary :envvar:`n`.,DEGREES
WAVEH,n,...,Mean fluid depth for all wave components at mesh boundary :envvar:`n`.,[L]
INWAVE,n,3,Indicator of wave type at mesh boundary :envvar:`n`,NONE
DISPEAK,n,...,Initial distance from the solitary wave crest to the wave boundary (the solitary wave is initially located outside the computational domain). ,[L]
FLHTBCT,"t,n",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`,[L]
FFLHTBCT,n,,The external filename for tabular free-surface elevation at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IFLHTBCTC(n)` :math:`\geq` 2),NONE
IFLHTBCTC,n,0,The column number for free-surface elevation at mesh boundary :envvar:`n` in the external file,NONE
HNWAVE,n,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,[L]
LNWAVE,n,...,Wave length of nonlinear wave at mesh boundary :envvar:`n`,[L]
TNWAVE,n,...,Period of nonlinear wave at mesh boundary :envvar:`n`,[t]
WAVEH,n,...,Mean fluid depth for all wave components at mesh boundary :envvar:`n`,[L]
UBCT,"t,n",0.0,X-velocity of undisturbed constant uniform current at mesh boundary :envvar:`n`,[L/t]
VBCT,"t,n",0.0,Y-velocity of undisturbed constant uniform current at mesh boundary :envvar:`n`,[L/t]
WBCT,"t,n",0.0,Z-velocity of undisturbed constant uniform current at mesh boundary :envvar:`n`,[L/t]
INWAVE,n,3,Indicator of wave type at mesh boundary :envvar:`n`,NONE
ISPECT,n,1,Type of wave energy spectrum. Used when :envvar:`INWAVE(n)` = 5.,NONE
FEDS,n,...,Name of user-provided data file for wave energy spectrum. ,NONE
FETCH,n,...,Fetch length in JONSWAP spectrum. ,[L]
GAM,n,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM
UW,n,...,Wind speed at 10m above water surface. Used when :envvar:`INWAVE(n)` = 5 and :envvar:`ISPECT(n)` = 1 or 2.,[L/t]
IRATING,n,0,Flag for fluid elevation at boundary :envvar:`n`,NONE
VOLBC,nvol,...,Volume flow rate in rating curve table. Used when :envvar:`IRATING(n)` = 1. ,[L\ :sup:`3`/t]
FLHTBCV,"nvol,n",...,Fluid elevation corresponding to :envvar:`VOLBC(nvol)` in rating curve table. Used when IRATING(n)=1.,[L]
FFLHTBCV,n,,Name of the external file for rating curve table. Used when :envvar:`IRATING(n)` = 1 and :envvar:`IFLHTBCVC(n)` > 0.,NONE
IFLHTBCVC,n,0,The column index of fluid elevation in the external rating curve file :envvar:`FFLHTBCV(n)`. ,NONE
FLELEVMIN,n,...,Lower limit for fluid elevation. Used when :envvar:`IRATING(n)` > 1. Default is the minimum z-coordinate of the computational domain. ,NONE
FLELEVMAX,n,...,Upper limit for fluid elevation. Used when :envvar:`IRATING(n)` > 1. Default is the maximum z-coordinate of the computational domain. ,NONE
FLRBCT,"t,n",0.0,"Volume flow rate at mesh boundary :envvar:`n`, or at a macro-boundary (see :envvar:`IF_PART`), at time :envvar:`TIMBCT(t)`.",[L\ :sup:`3`/t]
FFLRBCT,n,,The external filename for tabular volume flow rate at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IFLRBCTC(n)` :math:`\geq` 2),NONE
IFLRBCTC,n,0,The column number for volume flow rate at mesh boundary :envvar:`n` in the external file,NONE
FNX,n,...,X-component of the flow direction vector at mesh boundary :envvar:`n`.,NON-DIM
FNY,n,...,Y-component of the flow direction vector at mesh boundary :envvar:`n`.,NON-DIM
FNZ,n,...,Z-component of the flow direction vector at mesh boundary :envvar:`n`.,NON-DIM
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
NEVENTS_BC,n,0,Number of events for mesh boundary :envvar:`n`,NONE
EVENT_NAME_BC,"m,n",' ',Event :envvar:`m` name (up to 50 characters),NONE
IF_EVENT_ENABLED_BC,"m,n",1,Event :envvar:`m` enable/disable flag,NONE
IF_GLOBAL_BC,"m,n",0,Global condition flag for event :envvar:`m`,NONE
IGLOBAL_BC,"m,n",0,"Global condition id for event :envvar:`m` (used if :envvar:`IF_GLOBAL_BC(m,n)` = 1)",NONE
NACTIONS_BC,"m,n",0,"Number of actions for event :envvar:`m` (used if :envvar:`IF_GLOBAL_BC(m,n)` = 0)",NONE
NPROBES_BC,"m,n",0,Number of local probe conditions for event :envvar:`m`,NONE
EVENT_CONDITION_LOGIC_BC,"m,n",' ',Logical operator between probe conditions for event :envvar:`m`,NONE
EVENT_ACTION_BC,"i,m,n",' ',Event action :envvar:`i` for event :envvar:`m`,NONE
PBCT_EVENT,"t,m,n",0.0,Pressure at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[M L\ :sup:`-1` t\ :sup:`-2`]
IPBCTC_EVENT,"m,n",0,The column number for the pressure for event :envvar:`m`,NONE
FPBCT_EVENT,"m,n",,The external filename for the tabular pressure for event :envvar:`m` as a function of time,NONE
FLRBCT_EVENT,"t,m,n",0.0,Volume flow rate at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[L\ :sup:`3`/t]
IFLRBCTC_EVENT,"m,n",0,The column number for the volume flow rate for event :envvar:`m`,NONE
FFLRBCT_EVENT,"m,n",,The external filename for the tabular volume flow rate for event :envvar:`m` as a function of time,NONE
UBCT_EVENT,"t,m,n",0.0,x-velocity at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[L/t]
IUBCTC_EVENT,"m,n",0,The column number for the x-velocity for event :envvar:`m`,NONE
FUBCT_EVENT,"m,n",,The external filename for the tabular x-velocity for event :envvar:`m` as a function of time,NONE
VBCT_EVENT,"t,m,n",0.0,y-velocity at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[L/t]
IVBCTC_EVENT,"m,n",0,The column number for the y-velocity for event :envvar:`m`,NONE
FVBCT_EVENT,"m,n",,The external filename for the tabular y-velocity for event :envvar:`m` as a function of time,NONE
WBCT_EVENT,"t,m,n",0.0,z-velocity at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[L/t]
IWBCTC_EVENT,"m,n",0,The column number for the z-velocity for event :envvar:`m`,NONE
FWBCT_EVENT,"m,n",,The external filename for the tabular z-velocity for event :envvar:`m` as a function of time,NONE
TBCT_EVENT,"t,m,n",0.0,Temperature at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[T]
ITBCTC_EVENT,"m,n",0,The column number for the temperature for event :envvar:`m`,NONE
FTBCT_EVENT,"m,n",,The external filename for the tabular temperature for event :envvar:`m` as a function of time,NONE
POBCT_EVENT,"t,m,n",0.0,Thermal power at time :envvar:`TIMBCT(t)` for event :envvar:`m`,[M L\ :sup:`2` t\ :sup:`-3`]
IPOBCTC_EVENT,"m,n",0,The column number for the thermal power for event :envvar:`m`,NONE
FPOBCT_EVENT,"m,n",,The external filename for the tabular thermal power for event :envvar:`m` as a function of time,NONE
IF_CONDITION_ENABLED_BC,"j,m,n",1,Probe condition :envvar:`j` enable/disable flag for event :envvar:`m`,NONE
IPRBD_BC,"j,m,n",0,Probe id for probe condition :envvar:`j`,NONE
IPRBSC_BC,"j,m,n",0,Scalar id for probe condition :envvar:`j`,NONE
IPRBSCN_BC,"j,m,n",0,Additional scalar index for probe condition :envvar:`j`,NONE
PRBVNAM_BC,"j,m,n",...,Probe variable name for probe condition :envvar:`j`,NONE
IFPRBVABS_BC,"j,m,n",0,Specify if to use the absolute probe variable value for probe condition :envvar:`j`,NONE
PRBVROP_BC,"j,m,n",' ',Probe variable relational operator for probe condition :envvar:`j`,NONE
PRBVAL_CRITICAL_BC,"j,m,n",0.0,Critical value for probe condition :envvar:`j`,NONE
PRBDT_BC,"j,m,n",0.0,Duration after the critical value has reached for probe condition :envvar:`j`,[t]
IFTSPNGBC,n,0,flag for time scale for calculation of background stream velocity,NONE  
IFVSPNGBC,n,1,flag for background stream velocity,NONE
ISPNGBC,n,0,flag for wave absorbing layer,NONE
C0SPNGBC,n,0.0,damping coefficient at the starting side of the wave absorbing layer,[1/t]
C1SPNGBC,n,1.0,damping coefficient at the end side of the wave absorbing layer,[1/t]
USPNGBC,n,0.0,x-component of background stream velocity,[L/t]
VSPNGBC,n,0.0,y-component of background stream velocity,[L/t]
WSPNGBC,n,0.0,z-component of background stream velocity,[L/t]
THSPNGBC,n,...,wave absorbing layer length,[L]
TSPNGBC,n,...,time scale for calculation of background stream velocity,[T]
ICYL,,0,Mesh coordinate type indicator,NONE
ISWATLOC,,...,Mesh block flow type indicator,NONE
MESHNAME,,mesh block no. ##,Mesh block name (up to 256 characters),NONE
IF_SIZE,,1,Flag for the method of defining a uniform mesh,NONE
NTOTAL,,0,"Approximate total number of real cells to be generated. Used when :envvar:`IF_SIZE` = 0. :envvar:`NTOTAL` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",NONE
SIZE,,0.0,"Cell size to be approximated for a uniform mesh. Used when :envvar:`IF_SIZE` = 1. :envvar:`SIZE` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and/or :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",[L]
NXCELT,,1,Total number of real cells in x-direction,NONE
NYCELT,,1,Total number of real cells in y-direction,NONE
NZCELT,,1,Total number of real cells in z-direction,NONE
PX,n,...,nth location in x-direction for a mesh plane,[L]
PY,n,...,nth location in y-direction for a mesh plane,[L]
PYA,n,...,nth location angle (in degrees) in y-direction for a cylindrical coordinate mesh.,[DEGREES]
PZ,n,...,nth location in z-direction for a mesh plane,[L]
NXCELL,n,...,Number of cells between :envvar:`PX(n)` and :envvar:`PX(n+1)`,NONE
NYCELL,n,...,Number of cells between :envvar:`PY(n)` and :envvar:`PY(n+1)`,NONE
NZCELL,n,...,Number of cells between :envvar:`PZ(n)` and :envvar:`PZ(n+1)`,NONE
SIZEX,n,...,Size of mesh cells at :envvar:`PX(n)` in x-direction.,[L]
SIZEY,n,...,Size of mesh cells at :envvar:`PY(n)` in y-direction.,[L]
SIZEYA,n,...,Size of mesh cells in degrees at :envvar:`PY(n)` in y-direction for a cylindrical coordinate mesh.,[DEGREES]
SIZEZ,n,...,Size of mesh cells at :envvar:`PZ(n)` in z-direction.,[L]
MESH_RANK,,0,Mesh rank for partially overlapping mesh blocks. When two mesh blocks,NONE
IF_MESH_ENABLED,,1,Activation flag for mesh block,NONE 
MESH_TYPE,,0,Mesh block shape type,NONE
MESH_COMP,,0,Meshing component number that mesh block conforms to. Used when :envvar:`MESH_TYPE` = 3.     ,NONE
OVERLAP,,...,The extent of the overlap (in terms of length) of a conforming block into,[L]
ICMBOBS,n,1,Specifies whether the mesh should conform to component :envvar:`N`,NONE
IAVRCK,,1,FAVOR |TM| volume adjustment for stability with larger time-step limit (see :envvar:`AVRCK`),NONE
AVRCK,,3.1,Cell volume fractions are adjusted in so-called *sliver* cells so that the area/volume fraction ratios do not exceed this value. ,NON-DIM
TOLERANCE_GAP,,0.0,Gap size tolerance. Gaps that are smaller than the tolerance will be closed.,[L]
TOLERANCE_SKIN,,0.0,Skin size tolerance. Skins that are smaller than the tolerance will be converted to the base component which they,[L]
CCOLOR,m,0,Component :envvar:`m` RGB color value for display in the Graphical User Interface,NONE
IFCOMPENABLED,m,1,Activation flag for component :envvar:`m`,NONE
IFRCO,m,0,Flag for force and torque output for component :envvar:`m` ,NONE
IFWETAR,m,0,Flag for wetted area output for component :envvar:`m`,NONE
IFOB,m,0,"""Free"" (or phantom) component flag",NONE
IPREF,m,1,Flag for reference pressure for component :envvar:`m` ,NONE
IMO,m,0,Type of component :envvar:`m`,NONE
MATERIAL,m,""" """,Character string allowing user to identify the material of component :envvar:`m` (up to 256 characters).,
NOBR,m,m,,Component identifier for restarts; used to identify the old component number if components have been changed for restart runs.,NONE
NOBS,,0,Number of components,NONE
OBSID,m,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE
PREFMBW,m,PVOID,,Reference pressure,[M L\ :sup:`-1` t\ :sup:`-2`]
SUBCMPID,n,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE
XFRCO,m,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,[L]
YFRCO,m,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,[L]
ZFRCO,m,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,[L]
IGEN,n,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE
IFSUBCOMPENABLED,n,1,Activation flag for subcomponent :envvar:`n`,NONE
IOB,n,0,Associates subcomponent :envvar:`n` with a particular component,NONE
IOH,n,1,Subcomponent type,NONE
FSTL,n,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE
FTOPO,n,:file:`topofnn.inp`,"File name for raster file format data file, where ""nn ""= n.",NONE
ANGLH,n,...,"Upper cylindrical angle limit for subcomponent :envvar:`n` (measured in the x-y plane from the x-axis, in degrees).",[DEGREES]
ANGLL,n,...,"Lower cylindrical angle limit for subcomponent :envvar:`n` (measured in the x-y plane from the x-axis, in degrees).",[DEGREES]
CONEH,n,...,Upper conical angle limit for subcomponent :envvar:`n` (measured from the z-axis in degrees).,[DEGREES]
CONEL,n,...,Lower conical angle limit for subcomponent :envvar:`n` (measured from the z-axis in degrees).,[DEGREES]
RAH,n,...,Upper cylindrical-radius limit for subcomponent :envvar:`n`,[L]
RAL,n,...,Lower cylindrical-radius limit for subcomponent :envvar:`n`,[L]
RSH,n,...,Upper spherical-radius limit for subcomponent :envvar:`n`,[L]
RSL,n,...,Lower spherical-radius limit for subcomponent :envvar:`n`,[L]
RTORIN,n,-1.0,Minor toroid radius,[L]
RTOROUT,n,-1.0,Major toroid radius,[L]
XH,n,...,Upper x-coordinate limit for subcomponent :envvar:`n`,[L]
XL,n,...,Lower x-coordinate limit for subcomponent :envvar:`n`,[L]
YL,n,...,Lower y-coordinate limit for subcomponent :envvar:`n`,[L]
ZH,n,...,Upper z-coordinate limit for subcomponent :envvar:`n`,[L]
ZL,n,...,Lower z-coordinate limit for subcomponent :envvar:`n`,[L]
NODATRPLC,n,...,Elevation to replace *NODAT* value from raster format data files for subcomponent :envvar:`n`.,[L]
CC,n,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM
CX,n,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,[1/L]
CY,n,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,[1/L]
CZ,n,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,[1/L]
CXY,n,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,[1/L\ :sup:`2`]
CXZ,n,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,[1/L\ :sup:`2`]
CYZ,n,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,[1/L\ :sup:`2`]
CX2,n,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,[1/L\ :sup:`2`]
