NAME,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE
xfrco(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yfrco(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zfrco(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
famp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
freq(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
fphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2.01e+06
kobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.5
xkobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
ykobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
zkobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hobs1(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,600
uamp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ufre(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vamp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vfre(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wamp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wfre(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxamp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxfre(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyamp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyfre(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzamp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzfre(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzphs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burnigntemp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burna(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e-05
burnb(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.5
"twobs(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
"hobvt1(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,20
qsrncg(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
rsatqsr(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
saobs_c(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"vtpres(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300
"vttemp(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
vtf_min(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
sqp_time(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_force(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_solid(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uspng(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspng(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspng(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c0spng(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
c1spng(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opmass_restit(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opgas_restit(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquid_restit(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquidsd_restit(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opvoid_restit(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
pq2_gate_area(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x1(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y1(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z1(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotime(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotemp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15
exoq(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotau(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
nprobes_sqp(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_x(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_y(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_z(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"itpobs_time(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
shell_thobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rad_cluster_angle(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
hobem(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
gxtrfc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gytrfc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gztrfc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gmagn(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
grotx(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
groty(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
grotz(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnx(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrny(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnz(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xaxs0(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yaxs0(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zaxs0(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
delay_plunger(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
obsid(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Sand Core 1'
iob(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,4
subcmpid(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Sand core'
igen(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Sand core.stl'
roughsub(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
ifsoft(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
lthobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.009
ilthobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
robs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
hobs1s(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,500
rough(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0001
rcman(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
ocang(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,120
oechrg(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oepotzt(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oecond(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
odiel(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
graindiam(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.00022
opor(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"ospin(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
noblds(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oblthk(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
alphwobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xnwobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmwobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
alphdobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xndobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmdobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xfrco(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yfrco(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zfrco(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
famp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
freq(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
fphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.54e+06
kobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.444
xkobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
ykobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
zkobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uamp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ufre(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vamp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vfre(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wamp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wfre(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxamp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxfre(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyamp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyfre(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzamp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzfre(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzphs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burnigntemp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burna(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e-05
burnb(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.5
"twobs(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
"hobvt1(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,20
qsrncg(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
rsatqsr(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
saobs_c(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"vtpres(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300
"vttemp(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
vtf_min(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
sqp_time(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_force(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_solid(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uspng(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspng(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspng(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c0spng(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
c1spng(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opmass_restit(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opgas_restit(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquid_restit(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquidsd_restit(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opvoid_restit(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
pq2_gate_area(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x1(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y1(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z1(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotime(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotemp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15
exoq(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotau(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
nprobes_sqp(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_x(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_y(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_z(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"itpobs_time(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
shell_thobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rad_cluster_angle(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
hobem(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
gxtrfc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gytrfc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gztrfc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gmagn(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
grotx(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
groty(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
grotz(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnx(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrny(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnz(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xaxs0(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yaxs0(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zaxs0(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
delay_plunger(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
obsid(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Insulating Sleeve 1'
iob(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,5
subcmpid(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Insulating Feeder Sleeve'
igen(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Insulating Feeder Sleeve.stl'
roughsub(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
ifsoft(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
ilthobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
robs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
hobs1s(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,400
rough(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0001
rcman(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
oechrg(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oepotzt(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oecond(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
odiel(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
opor(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"ospin(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
noblds(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oblthk(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
alphwobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xnwobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmwobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
alphdobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xndobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmdobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xfrco(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yfrco(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zfrco(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
famp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
freq(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
fphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2.25e+05
xkobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
ykobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
zkobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hobs1(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,600
uamp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ufre(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vamp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vfre(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wamp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wfre(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxamp(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxfre(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxphs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
