NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
VPHS,2,0.0,"Initial phase of sinusoidal translational y-velocity in space system, in degrees",DEGREES,0,
WAMP,2,0.0,Amplitude of sinusoidal translational z-velocity in space system,cm/s,0,
WFRE,2,0.0,"Frequency of sinusoidal translational z-velocity in space system, in Hz",1/s,0,
WPHS,2,0.0,"Initial phase of sinusoidal translational z-velocity in space system, in degrees",DEGREES,0,
OMXAMP,2,0.0,"Amplitude of sinusoidal x'- angular velocity in body system, in rad/s",radians/s,0,
OMXFRE,2,0.0,"Frequency of sinusoidal x'- angular velocity in body system, in Hz",1/s,0,
OMXPHS,2,0.0,"Initial phase of sinusoidal x'- angular velocity in body system, in degrees",DEGREES,0,
OMYAMP,2,0.0,"Amplitude of sinusoidal y'- angular velocity in body system, in rad/s",radians/s,0,
OMYFRE,2,0.0,"Frequency of sinusoidal y'- angular velocity in body system, in Hz",1/s,0,
OMYPHS,2,0.0,"Initial phase of sinusoidal y'- angular velocity in body system, in degrees",DEGREES,0,
OMZAMP,2,0.0,"Amplitude of sinusoidal z'- angular velocity in body system, in rad/s",radians/s,0,
OMZFRE,2,0.0,"Frequency of sinusoidal z'- angular velocity in body system, in Hz",1/s,0,
OMZPHS,2,0.0,"Initial phase of sinusoidal z'- angular velocity in body system, in degrees",DEGREES,0,
BURNIGNTEMP,2,0.0 degrees C or F,Threshold temperature below which combustible component :envvar:`m` does not burn.,K,0,
BURNA,2,1.0e-05,The combustion front velocity in the solid.,cm :sup:-1,1.0e-05,
BURNB,2,0.5,A dummy variable that can be used to customize the burn rate equation.   ,NONE    ,0.5,
TWOBS,"1, 2",TBCD,,Uniform temperature for component :envvar:`m`,[T],200,
HOBVT1,"1, 2",0.0,Time-dependent component :envvar:`m` heat transfer to void,g K^-1 s^-3,40,
QSRNCG,2,0.0,Volume fraction of the non-condensable gas component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
RSATQSR,2,0.0,Relative saturation of the vapor component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
SAOBS_C,2,0.0,"Total surface area for heat transfer for component :envvar:`m` without cores/liners, including surface area at parting lines and roughness effects defined by the area multiplier :envvar:`ROBS(m)`.",NONE,0.0,
VTPRES,"1, 2",PVOID,External vent pressure at time :envvar:`TOBS(t)`,g cm^-1 s^-2,101300,
VTTEMP,"1, 2",TVOID,External vent temperature at time :envvar:`TOBS(t)`,K,25,
VTF_MIN,2,0.0,Fluid fraction at vent :envvar:`m` below which fluid #1 is allowed to escape through the vent. ,NON-DIM,0.0,
SQP_TIME,2,0.0,Squeeze pin activation time,s,0,
SQP_FORCE,2,0.0,Constant force applied to squeeze pin,g cm s^-2,0,
SQP_SOLID,2,1.0,Fraction of pin's surface covered by solid when its movement stops,NONE,1.0,
USPNG,2,0.0,x-component of background stream velocity,cm/s,0,
VSPNG,2,0.0,y-component of background stream velocity,cm/s,0,
WSPNG,2,0.0,z-component of background stream velocity,cm/s,0,
C0SPNG,2,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0.0,
C1SPNG,2,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1.0,
OPMASS_RESTIT,2,1.0,Mass particle coefficient of restitution for component :envvar:`m`,NON-DIM ,1.0,
OPGAS_RESTIT,2,1.0,Gas particle coefficient of restitution for component :envvar:`m`,NON-DIM,1.0,
OPLIQUID_RESTIT,2,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in liquid state,NON-DIM,1.0,
OPLIQUIDSD_RESTIT,2,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in solid state. Used when :envvar:`IFSLD` = 1.,NON-DIM,1.0,
OPVOID_RESTIT,2,1.0,Void particle coefficient of restitution for component :envvar:`m`,NON-DIM               ,1.0,
pq2_gate_area,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SQP_X1,2,0,x coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y1,2,0,Y coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z1,2,0,Z coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_X2,2,0,x coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y2,2,0,y coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z2,2,0,z coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
exotime,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotemp,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15,
exoq,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotau,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
NPROBES_SQP,2,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
CYC_TRANS_X,2,0.0,Component displacement in x direction during spray cooling,cm,0,
CYC_TRANS_Y,2,0.0,Component displacement in y direction during spray cooling,cm,0,
CYC_TRANS_Z,2,0.0,Component displacement in y direction during spray cooling,cm,0,
ITPOBS_TIME,"1, 2",1,on/off status table for power component :envvar:`m`,NONE,1,
SHELL_THOBS,2,0.0,Shell mold thickness for component :envvar:`m`,cm,0,
rad_cluster_angle,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30,
hobem,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
GXTRFC,2,0.0,x-coordinate of transformation center for component :envvar:`m`,cm,0,
GYTRFC,2,0.0,y-coordinate of transformation center for component :envvar:`m`,cm,0,
GZTRFC,2,0.0,z-coordinate of transformation center for component :envvar:`m`,cm,0,
GMAGN,2,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE,1.0,
GROTX,2,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",Degrees,0,
GROTY,2,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",Degrees,0,
GROTZ,2,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",Degrees,0,
GTRNX,2,0.0,Translation of component :envvar:`m` in x-direction,cm,0,
GTRNY,2,0.0,Translation of component :envvar:`m` in y-direction,cm,0,
GTRNZ,2,0.0,Translation of component :envvar:`m` in z-direction,cm,0,
XAXS0,2,0.0,X-coordinate of fixed point or fixed axis in space system,cm,0,
YAXS0,2,0.0,Y-coordinate of fixed point or fixed axis in space system.,cm,0,
ZAXS0,2,0.0,Z-coordinate of fixed point or fixed axis in space system,cm,0,
delay_plunger,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
OBSID,3,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Standard Insert 1',
IOB,3,0,Associates subcomponent :envvar:`n` with a particular component,NONE,3,
SUBCMPID,3,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Feed Tube',
IGEN,3,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,3,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'C:/flow3d/v5.1_37/gui/stl_lib/LPSC/Feed Tube .stl',
ROUGHSUB,3,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,3,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,3,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,3,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,3,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,3,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,3,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,3,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,3,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,3,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,3,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,3,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,3,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,3,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,3,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,3,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,3,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 3",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 3",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 3",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 3",1,On/off status for the cooling channel,NONE,1,
RTORIN,3,-1.0,Minor toroid radius,cm,-1,
RTOROUT,3,-1.0,Major toroid radius,cm,-1,
ILTHOBS,3,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
HOBS1S,3,...,Heat-transfer coefficient to solidified fluid #1 for component :envvar:`m`,g K^-1 s^-3,400,
ROUGH,3,...,Wall roughness for component :envvar:`m` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGH` < 0 ,cm,0,
RCMAN,3,0.0,Manning roughness coefficient on component :envvar:`m`,s/cm^1/3,0.0,
OECHRG,3,0.0,Initial uniform electric charge density in component :envvar:`m`,scoul/cm^3,0,
OEPOTZT,3,0.0,Zeta potential of component :envvar:`m`,g cm^2 scoul^-1 s^-2,0,
OECOND,3,0.0,Electric conductivity for component :envvar:`m`,scoul^2 s g^-1 cm^-3,0,
ODIEL,3,1.0,Dielectric constant (relative permittivity) for component :envvar:`m`.,NON-DIM,0.0,
OPOR,3,...,Component porosity (open volume fraction),NON-DIM,0.0,
OSPIN,"1, 3",0.0,Spin rate for rotating component :envvar:`m` at time :envvar:`TOBS(t)`,radians/s,0,
NOBLDS,3,0,Number of blades for added bladed effects,NONE,0,
OBLTHK,3,0.0,Blade tip thickness in the azimuthal direction (in units of length),cm,0,
ALPHWOBS,3,0.0,Coefficient for Van Genuchten wetting (filling) capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNWOBS,3,1.0,Outer exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless),NON-DIM,1.0,
XMWOBS,3,1.0,Inner exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
ALPHDOBS,3,0.0,Coefficient for Van Genuchten draining capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNDOBS,3,1.0,Outer exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XMDOBS,3,1.0,Inner exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XFRCO,3,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
YFRCO,3,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
ZFRCO,3,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
FAMP,3,0.0,Amplitude of sinusoidal actuator force,g cm s^2,0,
FREQ,3,0.0,Frequency of sinusoidal actuator force,1/s,0,
FPHS,3,0.0,Initial phase of sinusoidal actuator force,DEGREES,0,
RCOBS,3,0.0,"Density times specific heat product for component :envvar:`m`. If :envvar:`RCOBS(m)` :math:`>` 0.0, a dynamic equation is solved for the heat transfer surface temperature.",g cm^-1 K^-1 s^-2,2.01e+06,
KOBS,3,0.0,Thermal conductivity of component :envvar:`m`,g cm s^-3 K^-1,3.5,
XKOBS,3,1.0,Multiplier for x-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
YKOBS,3,1.0,Multiplier for y-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
ZKOBS,3,1.0,Multiplier for z-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
HOBS1,3,-1.0 ,Heat-transfer coefficient to fluid #1 for component :envvar:`m`,g K^-1 s^-3,600,
UAMP,3,0.0,Amplitude of sinusoidal translational x-velocity in space system,cm/s,0,
UFRE,3,0.0,"Frequency of sinusoidal translational x-velocity in space system, in Hz",1/s,0,
UPHS,3,0.0,"Initial phase of sinusoidal translational x-velocity in space system, in degrees",DEGREES,0,
VAMP,3,0.0,Amplitude of sinusoidal translational y-velocity in space system,cm/s,0,
VFRE,3,0.0,"Frequency of sinusoidal translational y-velocity in space system, in Hz",1/s,0,
VPHS,3,0.0,"Initial phase of sinusoidal translational y-velocity in space system, in degrees",DEGREES,0,
WAMP,3,0.0,Amplitude of sinusoidal translational z-velocity in space system,cm/s,0,
WFRE,3,0.0,"Frequency of sinusoidal translational z-velocity in space system, in Hz",1/s,0,
WPHS,3,0.0,"Initial phase of sinusoidal translational z-velocity in space system, in degrees",DEGREES,0,
OMXAMP,3,0.0,"Amplitude of sinusoidal x'- angular velocity in body system, in rad/s",radians/s,0,
OMXFRE,3,0.0,"Frequency of sinusoidal x'- angular velocity in body system, in Hz",1/s,0,
OMXPHS,3,0.0,"Initial phase of sinusoidal x'- angular velocity in body system, in degrees",DEGREES,0,
OMYAMP,3,0.0,"Amplitude of sinusoidal y'- angular velocity in body system, in rad/s",radians/s,0,
OMYFRE,3,0.0,"Frequency of sinusoidal y'- angular velocity in body system, in Hz",1/s,0,
OMYPHS,3,0.0,"Initial phase of sinusoidal y'- angular velocity in body system, in degrees",DEGREES,0,
OMZAMP,3,0.0,"Amplitude of sinusoidal z'- angular velocity in body system, in rad/s",radians/s,0,
OMZFRE,3,0.0,"Frequency of sinusoidal z'- angular velocity in body system, in Hz",1/s,0,
OMZPHS,3,0.0,"Initial phase of sinusoidal z'- angular velocity in body system, in degrees",DEGREES,0,
BURNIGNTEMP,3,0.0 degrees C or F,Threshold temperature below which combustible component :envvar:`m` does not burn.,K,0,
BURNA,3,1.0e-05,The combustion front velocity in the solid.,cm :sup:-1,1.0e-05,
BURNB,3,0.5,A dummy variable that can be used to customize the burn rate equation.   ,NONE    ,0.5,
TWOBS,"1, 3",TBCD,,Uniform temperature for component :envvar:`m`,[T],25,
HOBVT1,"1, 3",0.0,Time-dependent component :envvar:`m` heat transfer to void,g K^-1 s^-3,20,
QSRNCG,3,0.0,Volume fraction of the non-condensable gas component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
RSATQSR,3,0.0,Relative saturation of the vapor component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
SAOBS_C,3,0.0,"Total surface area for heat transfer for component :envvar:`m` without cores/liners, including surface area at parting lines and roughness effects defined by the area multiplier :envvar:`ROBS(m)`.",NONE,0.0,
VTPRES,"1, 3",PVOID,External vent pressure at time :envvar:`TOBS(t)`,g cm^-1 s^-2,101300,
VTTEMP,"1, 3",TVOID,External vent temperature at time :envvar:`TOBS(t)`,K,25,
VTF_MIN,3,0.0,Fluid fraction at vent :envvar:`m` below which fluid #1 is allowed to escape through the vent. ,NON-DIM,0.0,
SQP_TIME,3,0.0,Squeeze pin activation time,s,0,
SQP_FORCE,3,0.0,Constant force applied to squeeze pin,g cm s^-2,0,
SQP_SOLID,3,1.0,Fraction of pin's surface covered by solid when its movement stops,NONE,1.0,
USPNG,3,0.0,x-component of background stream velocity,cm/s,0,
VSPNG,3,0.0,y-component of background stream velocity,cm/s,0,
WSPNG,3,0.0,z-component of background stream velocity,cm/s,0,
C0SPNG,3,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0.0,
C1SPNG,3,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1.0,
OPMASS_RESTIT,3,1.0,Mass particle coefficient of restitution for component :envvar:`m`,NON-DIM ,1.0,
OPGAS_RESTIT,3,1.0,Gas particle coefficient of restitution for component :envvar:`m`,NON-DIM,1.0,
OPLIQUID_RESTIT,3,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in liquid state,NON-DIM,1.0,
OPLIQUIDSD_RESTIT,3,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in solid state. Used when :envvar:`IFSLD` = 1.,NON-DIM,1.0,
OPVOID_RESTIT,3,1.0,Void particle coefficient of restitution for component :envvar:`m`,NON-DIM               ,1.0,
pq2_gate_area,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SQP_X1,3,0,x coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y1,3,0,Y coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z1,3,0,Z coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_X2,3,0,x coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y2,3,0,y coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z2,3,0,z coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
exotime,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotemp,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15,
exoq,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotau,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
NPROBES_SQP,3,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
CYC_TRANS_X,3,0.0,Component displacement in x direction during spray cooling,cm,0,
CYC_TRANS_Y,3,0.0,Component displacement in y direction during spray cooling,cm,0,
CYC_TRANS_Z,3,0.0,Component displacement in y direction during spray cooling,cm,0,
ITPOBS_TIME,"1, 3",1,on/off status table for power component :envvar:`m`,NONE,1,
SHELL_THOBS,3,0.0,Shell mold thickness for component :envvar:`m`,cm,0,
rad_cluster_angle,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30,
hobem,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
GXTRFC,3,0.0,x-coordinate of transformation center for component :envvar:`m`,cm,0,
GYTRFC,3,0.0,y-coordinate of transformation center for component :envvar:`m`,cm,0,
GZTRFC,3,0.0,z-coordinate of transformation center for component :envvar:`m`,cm,0,
GMAGN,3,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE,1.0,
GROTX,3,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",Degrees,0,
GROTY,3,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",Degrees,0,
GROTZ,3,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",Degrees,0,
GTRNX,3,0.0,Translation of component :envvar:`m` in x-direction,cm,0,
GTRNY,3,0.0,Translation of component :envvar:`m` in y-direction,cm,0,
GTRNZ,3,0.0,Translation of component :envvar:`m` in z-direction,cm,0,
XAXS0,3,0.0,X-coordinate of fixed point or fixed axis in space system,cm,0,
YAXS0,3,0.0,Y-coordinate of fixed point or fixed axis in space system.,cm,0,
ZAXS0,3,0.0,Z-coordinate of fixed point or fixed axis in space system,cm,0,
delay_plunger,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
OBSID,4,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Sand Core 1',
IOB,4,0,Associates subcomponent :envvar:`n` with a particular component,NONE,4,
SUBCMPID,4,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Sand core',
IGEN,4,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,4,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Sand core.stl',
ROUGHSUB,4,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,4,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,4,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,4,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,4,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,4,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,4,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,4,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,4,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,4,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,4,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,4,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,4,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,4,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,4,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,4,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,4,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 4",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 4",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 4",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 4",1,On/off status for the cooling channel,NONE,1,
RTORIN,4,-1.0,Minor toroid radius,cm,-1,
RTOROUT,4,-1.0,Major toroid radius,cm,-1,
IFSOFT,4,0,Flag to determine the stiffness of the component :envvar:`m` adjacent to solidified fluid region.,NONE,1,
LTHOBS,4,-1 ,The thickness of the thermally active layer along the surface of geometry component :envvar:`m`,cm,0.009,
ILTHOBS,4,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
ROBS,4,1.0,Surface area multiplier due to roughness of component :envvar:`m`. This multiplies the cell-face area to give the effective heat transfer area for each cell. No heat transfer at component :envvar:`m` if :envvar:`ROBS(m)` = 0.0.,NON-DIM,1,
HOBS1S,4,...,Heat-transfer coefficient to solidified fluid #1 for component :envvar:`m`,g K^-1 s^-3,500,
ROUGH,4,...,Wall roughness for component :envvar:`m` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGH` < 0 ,cm,0.0001,
RCMAN,4,0.0,Manning roughness coefficient on component :envvar:`m`,s/cm^1/3,0.0,
OCANG,4,CANGLE,,Static contact angle (in degrees) for fluid #1 wall adhesion for component :envvar:`m`. (:envvar:`CANGLE` is set in namelist :envvar:`PROPS`).,[DEGREES],120,
OECHRG,4,0.0,Initial uniform electric charge density in component :envvar:`m`,scoul/cm^3,0,
OEPOTZT,4,0.0,Zeta potential of component :envvar:`m`,g cm^2 scoul^-1 s^-2,0,
OECOND,4,0.0,Electric conductivity for component :envvar:`m`,scoul^2 s g^-1 cm^-3,0,
ODIEL,4,1.0,Dielectric constant (relative permittivity) for component :envvar:`m`.,NON-DIM,0.0,
GRAINDIAM,4,0.0,Average sand grain diameter,cm,0.00022,
OPOR,4,...,Component porosity (open volume fraction),NON-DIM,0.0,
OSPIN,"1, 4",0.0,Spin rate for rotating component :envvar:`m` at time :envvar:`TOBS(t)`,radians/s,0,
NOBLDS,4,0,Number of blades for added bladed effects,NONE,0,
OBLTHK,4,0.0,Blade tip thickness in the azimuthal direction (in units of length),cm,0,
ALPHWOBS,4,0.0,Coefficient for Van Genuchten wetting (filling) capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNWOBS,4,1.0,Outer exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless),NON-DIM,1.0,
XMWOBS,4,1.0,Inner exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
ALPHDOBS,4,0.0,Coefficient for Van Genuchten draining capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNDOBS,4,1.0,Outer exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XMDOBS,4,1.0,Inner exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XFRCO,4,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
YFRCO,4,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
ZFRCO,4,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
FAMP,4,0.0,Amplitude of sinusoidal actuator force,g cm s^2,0,
FREQ,4,0.0,Frequency of sinusoidal actuator force,1/s,0,
FPHS,4,0.0,Initial phase of sinusoidal actuator force,DEGREES,0,
RCOBS,4,0.0,"Density times specific heat product for component :envvar:`m`. If :envvar:`RCOBS(m)` :math:`>` 0.0, a dynamic equation is solved for the heat transfer surface temperature.",g cm^-1 K^-1 s^-2,1.54e+06,
KOBS,4,0.0,Thermal conductivity of component :envvar:`m`,g cm s^-3 K^-1,0.444,
XKOBS,4,1.0,Multiplier for x-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
YKOBS,4,1.0,Multiplier for y-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
ZKOBS,4,1.0,Multiplier for z-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
UAMP,4,0.0,Amplitude of sinusoidal translational x-velocity in space system,cm/s,0,
UFRE,4,0.0,"Frequency of sinusoidal translational x-velocity in space system, in Hz",1/s,0,
UPHS,4,0.0,"Initial phase of sinusoidal translational x-velocity in space system, in degrees",DEGREES,0,
VAMP,4,0.0,Amplitude of sinusoidal translational y-velocity in space system,cm/s,0,
VFRE,4,0.0,"Frequency of sinusoidal translational y-velocity in space system, in Hz",1/s,0,
VPHS,4,0.0,"Initial phase of sinusoidal translational y-velocity in space system, in degrees",DEGREES,0,
WAMP,4,0.0,Amplitude of sinusoidal translational z-velocity in space system,cm/s,0,
WFRE,4,0.0,"Frequency of sinusoidal translational z-velocity in space system, in Hz",1/s,0,
WPHS,4,0.0,"Initial phase of sinusoidal translational z-velocity in space system, in degrees",DEGREES,0,
